# PBE Book proximity tables — generated by tools/geo-data, do not edit by hand.
# US Census 2020 ZCTA Gazetteer (public domain) sha256:335402fb16b41303
# GeoNames US postal codes (CC BY 4.0, https://www.geonames.org/) sha256:65dfe4f26002b528
# US Census sub-county population estimates 2024 (public domain) column:POPESTIMATE2024 sha256:af9cd4835c93552a
# coordinates rounded to 2 decimal places (~1.1 km)
# population threshold: 10000
# rows: 3590
city,state,lat,lon
Abbeville,LA,29.93,-92.16
Aberdeen,MD,39.5,-76.2
Aberdeen,SD,45.54,-98.44
Aberdeen,WA,47.21,-123.75
Abilene,TX,32.43,-99.75
Abington,MA,42.12,-70.96
Abington,PA,40.13,-75.13
Acton,MA,42.5,-71.43
Acushnet,MA,41.72,-70.9
Acworth,GA,34.07,-84.67
Ada,MI,42.96,-85.49
Ada,OK,34.78,-96.7
Addison,IL,41.93,-88.01
Addison,TX,32.96,-96.84
Adelanto,CA,34.59,-117.45
Adrian,MI,41.9,-84.06
Agawam,MA,42.06,-72.63
Agoura Hills,CA,34.13,-118.76
Aiken,SC,33.56,-81.66
Airway Heights,WA,47.64,-117.59
Akron,OH,41.08,-81.53
Alabaster,AL,33.22,-86.8
Alachua,FL,29.81,-82.49
Alameda,CA,37.76,-122.26
Alamo,TX,26.14,-98.12
Alamogordo,NM,32.72,-106.03
Albany,CA,37.89,-122.3
Albany,GA,31.56,-84.16
Albany,NY,42.66,-73.77
Albany,OR,44.64,-123.08
Albemarle,NC,35.35,-80.2
Albert Lea,MN,43.66,-93.32
Albertville,AL,34.3,-86.21
Albuquerque,NM,35.07,-106.65
Alcoa,TN,35.79,-83.99
Alden,NY,42.89,-78.5
Alexander,NC,35.71,-82.64
Alexander City,AL,32.96,-85.95
Alexandria,KY,38.92,-84.4
Alexandria,LA,31.24,-92.48
Alexandria,MN,45.88,-95.39
Alexandria,VA,38.8,-77.09
Algonquin,IL,42.17,-88.31
Alhambra,CA,34.09,-118.13
Alice,TX,27.74,-98.1
Aliso Viejo,CA,33.63,-117.78
Allen,TX,33.1,-96.65
Allen Park,MI,42.26,-83.21
Allendale,MI,42.98,-85.94
Allentown,PA,40.6,-75.51
Alliance,OH,40.92,-81.13
Alpena,MI,45.09,-83.48
Alpharetta,GA,34.09,-84.27
Alpine,UT,40.51,-111.75
Alsip,IL,41.67,-87.74
Altamonte Springs,FL,28.68,-81.34
Alton,IL,38.94,-90.13
Altoona,IA,41.65,-93.46
Altoona,PA,40.52,-78.38
Altus,OK,34.64,-99.32
Alvin,TX,29.4,-95.24
Amarillo,TX,35.27,-101.86
American Canyon,CA,38.19,-122.26
American Fork,UT,40.47,-111.68
Americus,GA,32.08,-84.22
Ames,IA,42.03,-93.64
Amesbury,MA,42.85,-70.96
Amherst,MA,42.38,-72.5
Amherst,NH,42.87,-71.6
Amherst,OH,41.37,-82.26
Amity,PA,40.05,-80.18
Amsterdam,NY,42.94,-74.17
Anacortes,WA,48.51,-122.66
Anaheim,CA,33.84,-117.9
Anchorage,AK,61.68,-150.47
Anderson,CA,40.46,-122.28
Anderson,IN,40.11,-85.68
Anderson,SC,34.49,-82.71
Andover,KS,37.7,-97.11
Andover,MA,42.65,-71.17
Andover,MN,45.25,-93.28
Andrews,TX,32.34,-102.7
Angleton,TX,29.17,-95.44
Ankeny,IA,41.72,-93.6
Ann Arbor,MI,42.26,-83.78
Anna,TX,33.36,-96.52
Annapolis,MD,38.99,-76.52
Anniston,AL,33.72,-85.81
Anoka,MN,45.29,-93.43
Ansonia,CT,41.34,-73.07
Antioch,CA,37.99,-121.79
Antioch,IL,42.47,-88.08
Apache Junction,AZ,33.39,-111.49
Apex,NC,35.72,-78.9
Apopka,FL,28.7,-81.51
Apple Valley,CA,34.5,-117.14
Appleton,WI,44.33,-88.42
Appling,GA,33.6,-82.3
Arapahoe,CO,38.84,-102.17
Arcadia,CA,34.14,-118.04
Arcata,CA,40.86,-124.08
Ardmore,OK,34.22,-97.17
Arkansas City,KS,37.07,-97
Arlington,MA,42.42,-71.17
Arlington,TN,35.29,-89.7
Arlington,TX,32.72,-97.16
Arlington,VA,38.87,-77.1
Arlington,WA,48.22,-121.95
Arlington Heights,IL,42.09,-87.98
Arnold,MO,38.43,-90.39
Arroyo Grande,CA,35.15,-120.53
Artesia,CA,33.87,-118.08
Artesia,NM,32.76,-104.27
Arvada,CO,39.82,-105.11
Arvin,CA,35.11,-118.83
Asbury Park,NJ,40.25,-74.05
Asheboro,NC,35.72,-79.79
Asheville,NC,35.6,-82.54
Ashland,KY,38.41,-82.69
Ashland,MA,42.26,-71.47
Ashland,OH,40.87,-82.32
Ashland,OR,42.19,-122.56
Ashtabula,OH,41.86,-80.79
Aston,PA,39.86,-75.43
Atascadero,CA,35.45,-120.73
Atascosa,TX,29.28,-98.74
Atchison,KS,39.54,-95.14
Athens,AL,34.8,-86.99
Athens,GA,33.95,-83.38
Athens,OH,39.31,-82.09
Athens,TN,35.45,-84.61
Athens,TX,32.17,-95.85
Athol,MA,42.56,-72.19
Atlanta,GA,33.82,-84.38
Atlantic Beach,FL,30.36,-81.42
Atlantic City,NJ,39.37,-74.43
Atoka,TN,35.41,-89.76
Attleboro,MA,41.93,-71.29
Atwater,CA,37.32,-120.65
Auburn,AL,32.58,-85.52
Auburn,CA,39.05,-120.75
Auburn,GA,34.02,-83.84
Auburn,IN,41.34,-85.03
Auburn,MA,42.2,-71.85
Auburn,ME,44.16,-70.24
Auburn,NY,42.93,-76.57
Auburn,WA,47.31,-122.21
Auburn Hills,MI,42.68,-83.31
Auburndale,FL,28.09,-81.81
Augusta,GA,33.44,-82.08
